Metrics,Severity,API,Description
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_control:(Ljava.nio.ByteBuffer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_controllen:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_flags:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_flags:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_iov:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_iov:(Lorg.lwjgl.system.linux.IOVec$Buffer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_iovlen:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_name:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_name:(Ljava.nio.ByteBuffer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_namelen:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.Msghdr.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.Msghdr.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.flags:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.flags:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.mode:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.mode:(J),Added Methods
java.method.added,No,"org.lwjgl.system.linux.OpenHow.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.OpenHow.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.resolve:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.resolve:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.OpenHow.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_data:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_data:(Ljava.nio.ByteBuffer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_data:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_data:(IB),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_family:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.sa_family:(S),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Sockaddr.Buffer.self:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.Sockaddr.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.Sockaddr.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.self:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.Statx.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.Statx.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_atime:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_atime:(Ljava.util.function.Consumer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_atime:(Lorg.lwjgl.system.linux.StatxTimestamp),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_attributes:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_attributes:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_attributes_mask:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_attributes_mask:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_blksize:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_blksize:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_blocks:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_blocks:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_btime:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_btime:(Ljava.util.function.Consumer),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_btime:(Lorg.lwjgl.system.linux.StatxTimestamp),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_ctime:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Statx.Buffer.stx_ctime:(Ljava.util.function.Consumer),Added Methods
