Metrics,Severity,API,Description
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Lorg.knowm.xchart.internal.chartpart.ChartLjava.io.File),Added Methods
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Lorg.knowm.xchart.internal.chartpart.ChartLjava.io.OutputStream),Added Methods
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Lorg.knowm.xchart.internal.chartpart.ChartLjava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Ljava.util.ListLjava.io.File),Added Methods
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Ljava.util.ListLjava.io.OutputStream),Added Methods
java.method.added,No,org.knowm.xchart.PdfboxGraphicsEncoder.savePdfboxGraphics:(Ljava.util.ListLjava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.getBorderWidth:(),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.getClockwiseDirectionType:(),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.getSumFormat:(),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.setBorderWidth:(D),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.setClockwiseDirectionType:(Lorg.knowm.xchart.style.PieStyler$ClockwiseDirectionType),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.setSumFormat:(Ljava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.XChartPanel.Printer.print:(Ljava.awt.GraphicsLjava.awt.print.PageFormatI),Added Methods
java.method.added,No,org.knowm.xchart.style.RadarStyler.isSeriesFilled:(),Added Methods
java.method.added,No,org.knowm.xchart.style.RadarStyler.setSeriesFilled:(Z),Added Methods
java.method.added,No,org.knowm.xchart.style.Styler.getAnnotationsFontColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.Styler.getAnnotationsRotation:(),Added Methods
java.method.added,No,org.knowm.xchart.style.Styler.getCursorBackgroundColor:(),Added Methods
